year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S2,Unauthorised Absence,4%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S3,Attendance,85.7%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S3,Authorised Absence,7.6%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S3,Temporary Exclusions,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S3,Unauthorised Absence,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S4,Attendance,86.6%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S4,Authorised Absence,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S4,Temporary Exclusions,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S4,Unauthorised Absence,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S5,Attendance,84.3%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S5,Authorised Absence,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S5,Temporary Exclusions,c,c
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S5,Unauthorised Absence,6.9%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S6,Attendance,78.5%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S6,Authorised Absence,15.4%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S6,Temporary Exclusions,0%,
2020/21,5350239,340,Perth & Kinross,St John's RC Academy,Secondary,S6,Unauthorised Absence,6.1%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,All Stages,Attendance,89%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,All Stages,Authorised Absence,7%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,All Stages,Temporary Exclusions,0.1%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,All Stages,Unauthorised Absence,4%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S1,Attendance,91.7%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S1,Authorised Absence,4.8%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S2,Attendance,87.6%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S2,Authorised Absence,8.4%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S3,Attendance,87.3%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S3,Authorised Absence,8.4%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S3,Temporary Exclusions,0.1%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S3,Unauthorised Absence,4.2%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S4,Attendance,88.7%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S4,Authorised Absence,7.2%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S4,Temporary Exclusions,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S4,Unauthorised Absence,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S5,Attendance,87.3%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S5,Authorised Absence,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S5,Unauthorised Absence,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S6,Attendance,91.9%,
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S6,Authorised Absence,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S6,Temporary Exclusions,c,c
2020/21,5350336,340,Perth & Kinross,Crieff High School,Secondary,S6,Unauthorised Absence,3.7%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,All Stages,Attendance,87.4%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,All Stages,Authorised Absence,6.1%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,All Stages,Temporary Exclusions,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,All Stages,Unauthorised Absence,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S1,Attendance,90%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S1,Authorised Absence,5.5%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S2,Attendance,90.7%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S2,Authorised Absence,4.8%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S3,Attendance,88.4%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S3,Authorised Absence,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S3,Temporary Exclusions,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S3,Unauthorised Absence,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S4,Attendance,84.2%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S4,Authorised Absence,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S4,Temporary Exclusions,c,c
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S4,Unauthorised Absence,8.7%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S5,Attendance,85.4%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S5,Authorised Absence,7.6%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S5,Unauthorised Absence,7.1%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S6,Attendance,85.4%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S6,Authorised Absence,5%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5350530,340,Perth & Kinross,Kinross High School,Secondary,S6,Unauthorised Absence,9.7%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,All Stages,Attendance,87.3%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,All Stages,Authorised Absence,8.2%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,All Stages,Temporary Exclusions,0.1%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,All Stages,Unauthorised Absence,4.5%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S1,Attendance,91.3%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S1,Authorised Absence,6.3%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S1,Temporary Exclusions,0%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S1,Unauthorised Absence,2.3%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S2,Attendance,89.5%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S2,Authorised Absence,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S2,Temporary Exclusions,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S2,Unauthorised Absence,3.5%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S3,Attendance,86.9%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S3,Authorised Absence,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S3,Temporary Exclusions,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S3,Unauthorised Absence,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S4,Attendance,86.8%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S4,Authorised Absence,6.9%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S4,Temporary Exclusions,0.1%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S4,Unauthorised Absence,6.2%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S5,Attendance,86.6%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S5,Authorised Absence,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S5,Temporary Exclusions,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S5,Unauthorised Absence,c,c
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S6,Attendance,78.7%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S6,Authorised Absence,16.7%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S6,Temporary Exclusions,0%,
2020/21,5350638,340,Perth & Kinross,Perth Academy,Secondary,S6,Unauthorised Absence,4.7%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,All Stages,Attendance,87.1%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,All Stages,Authorised Absence,6.8%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,All Stages,Unauthorised Absence,6.1%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S1,Attendance,90.5%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S1,Authorised Absence,7.5%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S1,Temporary Exclusions,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S1,Unauthorised Absence,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S2,Attendance,85.7%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S2,Authorised Absence,8.8%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S2,Temporary Exclusions,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S2,Unauthorised Absence,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S3,Attendance,86%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S3,Authorised Absence,7.3%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S3,Temporary Exclusions,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S3,Unauthorised Absence,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S4,Attendance,85.2%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S4,Authorised Absence,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S4,Temporary Exclusions,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S4,Unauthorised Absence,8.7%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S5,Attendance,86.7%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S5,Authorised Absence,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S5,Temporary Exclusions,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S5,Unauthorised Absence,c,c
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S6,Attendance,89.3%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S6,Authorised Absence,4.8%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5350832,340,Perth & Kinross,Perth Grammar School,Secondary,S6,Unauthorised Absence,5.9%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,All Stages,Attendance,88.5%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,All Stages,Authorised Absence,6.3%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,All Stages,Unauthorised Absence,5.3%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S1,Attendance,92.3%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S1,Authorised Absence,4.9%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S1,Temporary Exclusions,0%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S1,Unauthorised Absence,2.8%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S2,Attendance,89.6%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S2,Authorised Absence,c,c
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S3,Attendance,89.5%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S3,Authorised Absence,5.4%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S3,Temporary Exclusions,0%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S3,Unauthorised Absence,5.1%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S4,Attendance,85%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S4,Authorised Absence,7%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S4,Temporary Exclusions,0.1%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S4,Unauthorised Absence,8%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S5,Attendance,89.6%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S5,Authorised Absence,c,c
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S5,Temporary Exclusions,c,c
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S5,Unauthorised Absence,c,c
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S6,Attendance,83.5%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S6,Authorised Absence,10.8%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5351030,340,Perth & Kinross,Perth High School,Secondary,S6,Unauthorised Absence,5.7%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,All Stages,Attendance,91.4%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,All Stages,Authorised Absence,c,c
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,All Stages,Unauthorised Absence,c,c
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S1,Attendance,92%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S1,Authorised Absence,6%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S1,Temporary Exclusions,0%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S1,Unauthorised Absence,2%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S2,Attendance,91.9%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S2,Authorised Absence,5.4%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S2,Temporary Exclusions,0%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S2,Unauthorised Absence,2.7%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S3,Attendance,90.7%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S3,Authorised Absence,7.9%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S3,Temporary Exclusions,0%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S3,Unauthorised Absence,1.4%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S4,Attendance,91%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S4,Authorised Absence,7.7%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S4,Temporary Exclusions,0%,
2020/21,5351332,340,Perth & Kinross,Pitlochry High School,Secondary,S4,Unauthorised Absence,1.3%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,All Stages,Attendance,89%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,All Stages,Authorised Absence,5.1%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,All Stages,Unauthorised Absence,5.9%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S1,Attendance,90.7%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S1,Authorised Absence,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S2,Attendance,89.4%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S2,Authorised Absence,5.9%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S2,Temporary Exclusions,0%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S2,Unauthorised Absence,4.6%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S3,Attendance,88.4%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S3,Authorised Absence,5.5%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S3,Temporary Exclusions,0%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S3,Unauthorised Absence,6.1%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S4,Attendance,87.3%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S4,Authorised Absence,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S4,Temporary Exclusions,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S4,Unauthorised Absence,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S5,Attendance,87.5%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S5,Authorised Absence,4%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S5,Unauthorised Absence,8.4%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S6,Attendance,91.3%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S6,Authorised Absence,c,c
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5406439,250,Fife,Auchmuty High School,Secondary,S6,Unauthorised Absence,c,c
2020/21,5406536,250,Fife,Glenwood High School,Secondary,All Stages,Attendance,87.8%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,All Stages,Authorised Absence,9.4%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,All Stages,Unauthorised Absence,2.8%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S1,Attendance,89.6%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S1,Authorised Absence,8.8%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S1,Temporary Exclusions,0%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S1,Unauthorised Absence,1.5%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S2,Attendance,86.5%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S2,Authorised Absence,11.1%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S3,Attendance,86.1%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S3,Authorised Absence,9.6%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S3,Temporary Exclusions,0%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S3,Unauthorised Absence,4.3%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S4,Attendance,85.9%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S4,Authorised Absence,9.7%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S4,Temporary Exclusions,c,c
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S4,Unauthorised Absence,c,c
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S5,Attendance,88.5%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S5,Authorised Absence,8.8%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S5,Unauthorised Absence,2.8%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S6,Attendance,93.3%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S6,Authorised Absence,6%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5406536,250,Fife,Glenwood High School,Secondary,S6,Unauthorised Absence,0.7%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,All Stages,Attendance,89.1%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,All Stages,Authorised Absence,6.5%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,All Stages,Unauthorised Absence,4.4%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S1,Attendance,90.8%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S1,Authorised Absence,6%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S2,Attendance,90.2%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S2,Authorised Absence,7.3%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S3,Attendance,88.1%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S3,Authorised Absence,7.3%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S3,Temporary Exclusions,0%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S3,Unauthorised Absence,4.6%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S4,Attendance,86.5%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S4,Authorised Absence,6.3%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S4,Temporary Exclusions,0.1%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S4,Unauthorised Absence,7.1%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S5,Attendance,88.7%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S5,Authorised Absence,6.2%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S5,Unauthorised Absence,5.2%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S6,Attendance,89.9%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S6,Authorised Absence,5.6%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5406730,250,Fife,Glenrothes High School,Secondary,S6,Unauthorised Absence,4.5%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,All Stages,Attendance,88.6%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,All Stages,Authorised Absence,5.9%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,All Stages,Unauthorised Absence,5.5%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S1,Attendance,89.8%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S1,Authorised Absence,5.8%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S2,Attendance,88.9%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S2,Authorised Absence,6.4%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S2,Temporary Exclusions,0.1%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S2,Unauthorised Absence,4.6%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S3,Attendance,87.9%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S3,Authorised Absence,5.9%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S3,Temporary Exclusions,c,c
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S3,Unauthorised Absence,c,c
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S4,Attendance,84.5%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S4,Authorised Absence,7.6%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S4,Temporary Exclusions,0%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S4,Unauthorised Absence,7.9%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S5,Attendance,90.3%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S5,Authorised Absence,4.9%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S5,Temporary Exclusions,c,c
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S5,Unauthorised Absence,c,c
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S6,Attendance,91.8%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S6,Authorised Absence,3.8%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,5406838,250,Fife,Balwearie High School,Secondary,S6,Unauthorised Absence,4.4%,
2020/21,5407036,250,Fife,Kirkcaldy High School,Secondary,All Stages,Attendance,90.4%,
2020/21,5407036,250,Fife,Kirkcaldy High School,Secondary,All Stages,Authorised Absence,8.1%,
2020/21,5407036,250,Fife,Kirkcaldy High School,Secondary,All Stages,Temporary Exclusions,0%,
