year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2010/11,5616530,355,Scottish Borders,Earlston High School,Secondary,All Stages,Unauthorised Absence,1.4%,
2010/11,5619734,355,Scottish Borders,Galashiels Academy,Secondary,All Stages,Attendance,89.7%,
2010/11,5619734,355,Scottish Borders,Galashiels Academy,Secondary,All Stages,Authorised Absence,5.1%,
2010/11,5619734,355,Scottish Borders,Galashiels Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5619734,355,Scottish Borders,Galashiels Academy,Secondary,All Stages,Unauthorised Absence,5.1%,
2010/11,5619831,355,Scottish Borders,Selkirk High School,Secondary,All Stages,Attendance,94.4%,
2010/11,5619831,355,Scottish Borders,Selkirk High School,Secondary,All Stages,Authorised Absence,5.2%,
2010/11,5619831,355,Scottish Borders,Selkirk High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5619831,355,Scottish Borders,Selkirk High School,Secondary,All Stages,Unauthorised Absence,0.3%,
2010/11,5632536,355,Scottish Borders,Hawick High School,Secondary,All Stages,Attendance,90%,
2010/11,5632536,355,Scottish Borders,Hawick High School,Secondary,All Stages,Authorised Absence,6.8%,
2010/11,5632536,355,Scottish Borders,Hawick High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5632536,355,Scottish Borders,Hawick High School,Secondary,All Stages,Unauthorised Absence,3%,
2010/11,5632838,355,Scottish Borders,Kelso High School,Secondary,All Stages,Attendance,93.8%,
2010/11,5632838,355,Scottish Borders,Kelso High School,Secondary,All Stages,Authorised Absence,5.2%,
2010/11,5632838,355,Scottish Borders,Kelso High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5632838,355,Scottish Borders,Kelso High School,Secondary,All Stages,Unauthorised Absence,1%,
2010/11,5647339,355,Scottish Borders,Berwickshire High School,Secondary,All Stages,Attendance,91.2%,
2010/11,5647339,355,Scottish Borders,Berwickshire High School,Secondary,All Stages,Authorised Absence,4.5%,
2010/11,5647339,355,Scottish Borders,Berwickshire High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5647339,355,Scottish Borders,Berwickshire High School,Secondary,All Stages,Unauthorised Absence,4.2%,
2010/11,5647436,355,Scottish Borders,Eyemouth High School,Secondary,All Stages,Attendance,89.9%,
2010/11,5647436,355,Scottish Borders,Eyemouth High School,Secondary,All Stages,Authorised Absence,6.2%,
2010/11,5647436,355,Scottish Borders,Eyemouth High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5647436,355,Scottish Borders,Eyemouth High School,Secondary,All Stages,Unauthorised Absence,3.8%,
2010/11,5702534,150,Clackmannanshire,Alloa Academy,Secondary,All Stages,Attendance,92.6%,
2010/11,5702534,150,Clackmannanshire,Alloa Academy,Secondary,All Stages,Authorised Absence,3.9%,
2010/11,5702534,150,Clackmannanshire,Alloa Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5702534,150,Clackmannanshire,Alloa Academy,Secondary,All Stages,Unauthorised Absence,3.4%,
2010/11,5702631,150,Clackmannanshire,Lornshill Academy,Secondary,All Stages,Attendance,89.1%,
2010/11,5702631,150,Clackmannanshire,Lornshill Academy,Secondary,All Stages,Authorised Absence,6.8%,
2010/11,5702631,150,Clackmannanshire,Lornshill Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5702631,150,Clackmannanshire,Lornshill Academy,Secondary,All Stages,Unauthorised Absence,3.9%,
2010/11,5702836,150,Clackmannanshire,Alva Academy,Secondary,All Stages,Attendance,92.8%,
2010/11,5702836,150,Clackmannanshire,Alva Academy,Secondary,All Stages,Authorised Absence,4.9%,
2010/11,5702836,150,Clackmannanshire,Alva Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5702836,150,Clackmannanshire,Alva Academy,Secondary,All Stages,Unauthorised Absence,2.2%,
2010/11,5722330,390,Stirling,McLaren High School,Secondary,All Stages,Attendance,92.5%,
2010/11,5722330,390,Stirling,McLaren High School,Secondary,All Stages,Authorised Absence,7%,
2010/11,5722330,390,Stirling,McLaren High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5722330,390,Stirling,McLaren High School,Secondary,All Stages,Unauthorised Absence,0.5%,
2010/11,5722438,390,Stirling,Dunblane High School,Secondary,All Stages,Attendance,95%,
2010/11,5722438,390,Stirling,Dunblane High School,Secondary,All Stages,Authorised Absence,3.4%,
2010/11,5722438,390,Stirling,Dunblane High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5722438,390,Stirling,Dunblane High School,Secondary,All Stages,Unauthorised Absence,1.6%,
2010/11,5726034,390,Stirling,Balfron High School,Secondary,All Stages,Attendance,92.1%,
2010/11,5726034,390,Stirling,Balfron High School,Secondary,All Stages,Authorised Absence,4.2%,
2010/11,5726034,390,Stirling,Balfron High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5726034,390,Stirling,Balfron High School,Secondary,All Stages,Unauthorised Absence,3.7%,
2010/11,5726131,390,Stirling,Bannockburn High School,Secondary,All Stages,Attendance,87.3%,
2010/11,5726131,390,Stirling,Bannockburn High School,Secondary,All Stages,Authorised Absence,4.9%,
2010/11,5726131,390,Stirling,Bannockburn High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5726131,390,Stirling,Bannockburn High School,Secondary,All Stages,Unauthorised Absence,7.6%,
2010/11,5726239,390,Stirling,Stirling High School,Secondary,All Stages,Attendance,89.7%,
2010/11,5726239,390,Stirling,Stirling High School,Secondary,All Stages,Authorised Absence,8.8%,
2010/11,5726239,390,Stirling,Stirling High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5726239,390,Stirling,Stirling High School,Secondary,All Stages,Unauthorised Absence,1.5%,
2010/11,5726336,390,Stirling,St Modan's High School,Secondary,All Stages,Attendance,88.2%,
2010/11,5726336,390,Stirling,St Modan's High School,Secondary,All Stages,Authorised Absence,10.7%,
2010/11,5726336,390,Stirling,St Modan's High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5726336,390,Stirling,St Modan's High School,Secondary,All Stages,Unauthorised Absence,1.1%,
2010/11,5726530,390,Stirling,Wallace High School,Secondary,All Stages,Attendance,84.5%,
2010/11,5726530,390,Stirling,Wallace High School,Secondary,All Stages,Authorised Absence,5.3%,
2010/11,5726530,390,Stirling,Wallace High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5726530,390,Stirling,Wallace High School,Secondary,All Stages,Unauthorised Absence,10.1%,
2010/11,5745438,240,Falkirk,Denny High School,Secondary,All Stages,Attendance,92.1%,
2010/11,5745438,240,Falkirk,Denny High School,Secondary,All Stages,Authorised Absence,6.5%,
2010/11,5745438,240,Falkirk,Denny High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5745438,240,Falkirk,Denny High School,Secondary,All Stages,Unauthorised Absence,1.3%,
2010/11,5745632,240,Falkirk,Falkirk High School,Secondary,All Stages,Attendance,90.4%,
2010/11,5745632,240,Falkirk,Falkirk High School,Secondary,All Stages,Authorised Absence,5.6%,
2010/11,5745632,240,Falkirk,Falkirk High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5745632,240,Falkirk,Falkirk High School,Secondary,All Stages,Unauthorised Absence,4%,
2010/11,5746132,240,Falkirk,Graeme High School,Secondary,All Stages,Attendance,88.1%,
2010/11,5746132,240,Falkirk,Graeme High School,Secondary,All Stages,Authorised Absence,8.3%,
2010/11,5746132,240,Falkirk,Graeme High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5746132,240,Falkirk,Graeme High School,Secondary,All Stages,Unauthorised Absence,3.6%,
2010/11,5746434,240,Falkirk,St Mungo's RC High School,Secondary,All Stages,Attendance,91.8%,
2010/11,5746434,240,Falkirk,St Mungo's RC High School,Secondary,All Stages,Authorised Absence,5.8%,
2010/11,5746434,240,Falkirk,St Mungo's RC High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5746434,240,Falkirk,St Mungo's RC High School,Secondary,All Stages,Unauthorised Absence,2.3%,
2010/11,5746531,240,Falkirk,Braes High School,Secondary,All Stages,Attendance,91.7%,
2010/11,5746531,240,Falkirk,Braes High School,Secondary,All Stages,Authorised Absence,5.5%,
2010/11,5746531,240,Falkirk,Braes High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5746531,240,Falkirk,Braes High School,Secondary,All Stages,Unauthorised Absence,2.7%,
2010/11,5746639,240,Falkirk,Grangemouth High School,Secondary,All Stages,Attendance,90.3%,
2010/11,5746639,240,Falkirk,Grangemouth High School,Secondary,All Stages,Authorised Absence,5.4%,
2010/11,5746639,240,Falkirk,Grangemouth High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5746639,240,Falkirk,Grangemouth High School,Secondary,All Stages,Unauthorised Absence,4.2%,
2010/11,5747031,240,Falkirk,Larbert High School,Secondary,All Stages,Attendance,92.5%,
2010/11,5747031,240,Falkirk,Larbert High School,Secondary,All Stages,Authorised Absence,5.1%,
2010/11,5747031,240,Falkirk,Larbert High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5747031,240,Falkirk,Larbert High School,Secondary,All Stages,Unauthorised Absence,2.3%,
2010/11,5758734,240,Falkirk,Bo'ness Academy,Secondary,All Stages,Attendance,90%,
2010/11,5758734,240,Falkirk,Bo'ness Academy,Secondary,All Stages,Authorised Absence,8.5%,
2010/11,5758734,240,Falkirk,Bo'ness Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5758734,240,Falkirk,Bo'ness Academy,Secondary,All Stages,Unauthorised Absence,1.4%,
2010/11,5902932,170,Dumfries & Galloway,Douglas Ewart High School,Secondary,All Stages,Attendance,90.6%,
2010/11,5902932,170,Dumfries & Galloway,Douglas Ewart High School,Secondary,All Stages,Authorised Absence,6.4%,
2010/11,5902932,170,Dumfries & Galloway,Douglas Ewart High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5902932,170,Dumfries & Galloway,Douglas Ewart High School,Secondary,All Stages,Unauthorised Absence,2.9%,
2010/11,5903130,170,Dumfries & Galloway,Stranraer Academy,Secondary,All Stages,Attendance,91.6%,
2010/11,5903130,170,Dumfries & Galloway,Stranraer Academy,Secondary,All Stages,Authorised Absence,4.2%,
2010/11,5903130,170,Dumfries & Galloway,Stranraer Academy,Secondary,All Stages,Temporary Exclusions,z,z
